area,bedrooms,bathrooms,property_type,price,district,city
1000,2,2,house,2000,Thiruvananthapuram,Thiruvananthapuram
1500,3,1,house,3000,Thiruvananthapuram,Neyyattinkara
800,2,3,house,1500,Thiruvananthapuram,Attingal
1200,4,2,house,2200,Kollam,Kollam
1800,5,3,house,4000,Kollam,Punalur
950,3,1,house,1800,Kollam,Paravur
1100,3,2,house,2500,Pathanamthitta,Pathanamthitta
1400,4,2,house,3200,Pathanamthitta,Adoor
1700,3,3,house,3500,Pathanamthitta,Thiruvalla
2000,2,2,house,4500,Thiruvananthapuram,Thiruvananthapuram
1300,3,2,apartment,2700,Thiruvananthapuram,Neyyattinkara
1600,4,3,apartment,3800,Kollam,Kollam
900,2,1,apartment,1600,Kollam,Punalur
1250,3,2,apartment,2400,Pathanamthitta,Pathanamthitta
1450,4,3,apartment,3300,Pathanamthitta,Adoor
1750,3,2,apartment,3600,Pathanamthitta,Thiruvalla
2100,5,4,apartment,5000,Thiruvananthapuram,Attingal
1100,2,1,house,2100,Alappuzha,Alappuzha
1300,3,2,house,3100,Alappuzha,Cherthala
900,2,1,house,1700,Alappuzha,Kayamkulam
1400,4,2,house,3300,Kottayam,Kottayam
1600,3,2,house,3700,Kottayam,Pala
1000,2,1,house,1900,Kottayam,Changanassery
1500,3,2,house,3200,Idukki,Idukki
1700,4,3,house,4200,Idukki,Thodupuzha
1100,2,1,house,2300,Idukki,Munnar
1800,5,3,house,4500,Ernakulam,Ernakulam
2000,4,2,house,5000,Ernakulam,Kochi
1200,3,1,house,2600,Ernakulam,Aluva
1300,3,2,apartment,2900,Thrissur,Thrissur
1500,4,3,apartment,3500,Thrissur,Guruvayur
1000,2,1,apartment,2100,Thrissur,Chalakudy
1400,3,2,apartment,3100,Palakkad,Palakkad
1600,4,3,apartment,3700,Palakkad,Ottapalam
1100,2,1,apartment,2300,Palakkad,Mannarkkad
1700,5,3,apartment,4300,Malappuram,Malappuram
1900,4,2,apartment,4800,Malappuram,Manjeri
1200,3,1,apartment,2600,Malappuram,Perinthalmanna
1300,3,2,house,2900,Kozhikode,Kozhikode
1500,4,3,house,3500,Kozhikode,Vadakara
1000,2,1,house,2100,Kozhikode,Koyilandy
1400,3,2,house,3100,Wayanad,Kalpetta
1600,4,3,house,3700,Wayanad,Mananthavady
1100,2,1,house,2300,Wayanad,Sulthan Bathery
1700,5,3,house,4300,Kannur,Kannur
1900,4,2,house,4800,Kannur,Thalassery
1200,3,1,house,2600,Kannur,Payyannur
1300,3,2,apartment,2900,Kasaragod,Kasaragod
1500,4,3,apartment,3500,Kasaragod,Kanhangad
1000,2,1,apartment,2100,Kasaragod,Nileshwaram
2200,4,3,apartment,5200,Thiruvananthapuram,Thiruvananthapuram
1850,3,2,house,4100,Thiruvananthapuram,Neyyattinkara
1650,3,2,apartment,3800,Thiruvananthapuram,Attingal
2300,5,4,house,5500,Kollam,Kollam
1750,4,2,apartment,3900,Kollam,Punalur
1550,3,2,house,3400,Kollam,Paravur
2100,4,3,apartment,4700,Pathanamthitta,Pathanamthitta
1950,4,2,house,4200,Pathanamthitta,Adoor
1800,3,2,apartment,3900,Pathanamthitta,Thiruvalla
2400,5,3,house,5600,Alappuzha,Alappuzha
1700,3,2,apartment,3800,Alappuzha,Cherthala
1600,3,2,house,3500,Alappuzha,Kayamkulam
2250,4,3,apartment,5100,Kottayam,Kottayam
2050,4,2,house,4600,Kottayam,Pala
1850,3,2,apartment,4000,Kottayam,Changanassery
2150,4,3,house,4900,Idukki,Idukki
1900,4,2,apartment,4200,Idukki,Thodupuzha
1750,3,2,house,3900,Idukki,Munnar
2500,5,4,apartment,5800,Ernakulam,Ernakulam
2300,4,3,house,5300,Ernakulam,Kochi
2100,4,2,apartment,4800,Ernakulam,Aluva
2200,4,3,house,5000,Thrissur,Thrissur
1950,4,2,apartment,4300,Thrissur,Guruvayur
1800,3,2,house,4000,Thrissur,Chalakudy
2150,4,3,apartment,4900,Palakkad,Palakkad
2000,4,2,house,4500,Palakkad,Ottapalam
1850,3,2,apartment,4100,Palakkad,Mannarkkad
2300,5,3,house,5400,Malappuram,Malappuram
2100,4,2,apartment,4700,Malappuram,Manjeri
1900,3,2,house,4200,Malappuram,Perinthalmanna
2400,5,4,apartment,5700,Kozhikode,Kozhikode
2200,4,3,house,5100,Kozhikode,Vadakara
2000,4,2,apartment,4500,Kozhikode,Koyilandy
2100,4,3,house,4800,Wayanad,Kalpetta
1950,4,2,apartment,4400,Wayanad,Mananthavady
1800,3,2,house,4100,Wayanad,Sulthan Bathery
2350,5,3,apartment,5500,Kannur,Kannur
2150,4,3,house,4900,Kannur,Thalassery
1950,4,2,apartment,4400,Kannur,Payyannur
2250,5,3,house,5200,Kasaragod,Kasaragod
2050,4,2,apartment,4600,Kasaragod,Kanhangad
1900,3,2,house,4300,Kasaragod,Nileshwaram
1750,3,2,apartment,3900,Thiruvananthapuram,Thiruvananthapuram
1600,3,1,house,3600,Thiruvananthapuram,Neyyattinkara
1450,2,2,apartment,3300,Thiruvananthapuram,Attingal
2050,4,3,house,4700,Kollam,Kollam
1850,3,2,apartment,4100,Kollam,Punalur
1700,3,2,house,3800,Kollam,Paravur
1950,4,2,apartment,4400,Pathanamthitta,Pathanamthitta
1800,3,2,house,4000,Pathanamthitta,Adoor
1650,3,1,apartment,3700,Pathanamthitta,Thiruvalla
2150,4,3,house,4900,Alappuzha,Alappuzha
1950,4,2,apartment,4400,Alappuzha,Cherthala
1800,3,2,house,4100,Alappuzha,Kayamkulam
2250,5,3,apartment,5200,Kottayam,Kottayam
2050,4,2,house,4700,Kottayam,Pala
1900,3,2,apartment,4300,Kottayam,Changanassery
2300,5,3,house,5400,Thiruvananthapuram,Thiruvananthapuram
1950,4,2,apartment,4400,Thiruvananthapuram,Neyyattinkara
1800,3,2,house,4100,Thiruvananthapuram,Attingal
2100,4,3,apartment,4800,Kollam,Kollam
1900,3,2,house,4300,Kollam,Punalur
1750,3,2,apartment,4000,Kollam,Paravur
2250,5,3,house,5200,Pathanamthitta,Pathanamthitta
2050,4,2,apartment,4700,Pathanamthitta,Adoor
1900,3,2,house,4300,Pathanamthitta,Thiruvalla
2400,5,4,apartment,5600,Alappuzha,Alappuzha
2200,4,3,house,5100,Alappuzha,Cherthala
2000,4,2,apartment,4600,Alappuzha,Kayamkulam
2150,4,3,house,4900,Kottayam,Kottayam
1950,4,2,apartment,4400,Kottayam,Pala
1800,3,2,house,4100,Kottayam,Changanassery
2050,4,3,apartment,4700,Idukki,Idukki
1900,3,2,house,4300,Idukki,Thodupuzha
1750,3,2,apartment,4000,Idukki,Munnar
2350,5,3,house,5400,Ernakulam,Ernakulam
2150,4,3,apartment,4900,Ernakulam,Kochi
1950,4,2,house,4400,Ernakulam,Aluva
2200,4,3,apartment,5000,Thrissur,Thrissur
2000,4,2,house,4500,Thrissur,Guruvayur
1850,3,2,apartment,4200,Thrissur,Chalakudy
2100,4,3,house,4800,Palakkad,Palakkad
1900,3,2,apartment,4300,Palakkad,Ottapalam
1750,3,2,house,4000,Palakkad,Mannarkkad
2300,5,3,apartment,5300,Malappuram,Malappuram
2100,4,3,house,4800,Malappuram,Manjeri
1950,4,2,apartment,4400,Malappuram,Perinthalmanna
2250,5,3,house,5200,Kozhikode,Kozhikode
2050,4,2,apartment,4700,Kozhikode,Vadakara
1900,3,2,house,4300,Kozhikode,Koyilandy
2150,4,3,apartment,4900,Wayanad,Kalpetta
1950,4,2,house,4400,Wayanad,Mananthavady
1800,3,2,apartment,4100,Wayanad,Sulthan Bathery
2400,5,4,house,5600,Kannur,Kannur
2200,4,3,apartment,5100,Kannur,Thalassery
2000,4,2,house,4600,Kannur,Payyannur
2300,5,3,apartment,5400,Kasaragod,Kasaragod
2100,4,3,house,4800,Kasaragod,Kanhangad
1950,4,2,apartment,4400,Kasaragod,Nileshwaram
1700,3,2,house,3900,Thiruvananthapuram,Thiruvananthapuram
1550,3,1,apartment,3600,Thiruvananthapuram,Neyyattinkara
1400,2,2,house,3300,Thiruvananthapuram,Attingal
1850,4,2,apartment,4200,Kollam,Kollam
1650,3,2,house,3800,Kollam,Punalur
1500,3,1,apartment,3500,Kollam,Paravur
2000,4,3,house,4500,Pathanamthitta,Pathanamthitta
1800,3,2,apartment,4100,Pathanamthitta,Adoor
1650,3,2,house,3800,Pathanamthitta,Thiruvalla
2200,5,3,apartment,5100,Alappuzha,Alappuzha
2000,4,2,house,4600,Alappuzha,Cherthala
1850,3,2,apartment,4200,Alappuzha,Kayamkulam
1950,4,2,house,4400,Kottayam,Kottayam
1750,3,2,apartment,4000,Kottayam,Pala
1600,3,1,house,3700,Kottayam,Changanassery
2100,4,3,apartment,4800,Idukki,Idukki
1900,4,2,house,4300,Idukki,Thodupuzha
1750,3,2,apartment,4000,Idukki,Munnar
2400,5,4,house,5600,Ernakulam,Ernakulam
2200,4,3,apartment,5100,Ernakulam,Kochi
2000,4,2,house,4600,Ernakulam,Aluva
2150,4,3,apartment,4900,Thrissur,Thrissur
1950,4,2,house,4400,Thrissur,Guruvayur
1800,3,2,apartment,4100,Thrissur,Chalakudy
2050,4,3,house,4700,Palakkad,Palakkad
1850,3,2,apartment,4200,Palakkad,Ottapalam
1700,3,2,house,3900,Palakkad,Mannarkkad
2250,5,3,apartment,5200,Malappuram,Malappuram
2050,4,2,house,4700,Malappuram,Manjeri
1900,3,2,apartment,4300,Malappuram,Perinthalmanna
2200,4,3,house,5000,Kozhikode,Kozhikode
2000,4,2,apartment,4500,Kozhikode,Vadakara
1850,3,2,house,4200,Kozhikode,Koyilandy
2100,4,3,apartment,4800,Wayanad,Kalpetta
1900,3,2,house,4300,Wayanad,Mananthavady
1750,3,2,apartment,4000,Wayanad,Sulthan Bathery
2300,5,3,house,5300,Kannur,Kannur
2100,4,3,apartment,4800,Kannur,Thalassery
1950,4,2,house,4400,Kannur,Payyannur
2250,5,3,apartment,5200,Kasaragod,Kasaragod
2050,4,2,house,4700,Kasaragod,Kanhangad
1900,3,2,apartment,4300,Kasaragod,Nileshwaram
1600,3,1,house,3700,Thiruvananthapuram,Thiruvananthapuram
1450,2,2,apartment,3400,Thiruvananthapuram,Neyyattinkara
1350,2,1,house,3200,Thiruvananthapuram,Attingal
1800,4,2,apartment,4100,Kollam,Kollam
1600,3,2,house,3700,Kollam,Punalur
1450,3,1,apartment,3400,Kollam,Paravur
1950,4,3,house,4400,Pathanamthitta,Pathanamthitta
1750,3,2,apartment,4000,Pathanamthitta,Adoor
1600,3,2,house,3700,Pathanamthitta,Thiruvalla
2150,5,3,apartment,5000,Alappuzha,Alappuzha
1950,4,2,house,4400,Alappuzha,Cherthala
1800,3,2,apartment,4100,Alappuzha,Kayamkulam
1900,4,2,house,4300,Kottayam,Kottayam
1700,3,2,apartment,3900,Kottayam,Pala
1550,3,1,house,3600,Kottayam,Changanassery
2050,4,3,apartment,4700,Idukki,Idukki
1850,4,2,house,4200,Idukki,Thodupuzha
1700,3,2,apartment,3900,Idukki,Munnar
2350,5,4,house,5400,Ernakulam,Ernakulam
2150,4,3,apartment,5000,Ernakulam,Kochi
1950,4,2,house,4400,Ernakulam,Aluva
2100,4,3,apartment,4800,Thrissur,Thrissur
1900,4,2,house,4300,Thrissur,Guruvayur
1750,3,2,apartment,4000,Thrissur,Chalakudy
2000,4,3,house,4600,Palakkad,Palakkad
1800,3,2,apartment,4100,Palakkad,Ottapalam
1650,3,2,house,3800,Palakkad,Mannarkkad
2200,5,3,apartment,5100,Malappuram,Malappuram
2000,4,2,house,4600,Malappuram,Manjeri
1850,3,2,apartment,4200,Malappuram,Perinthalmanna
2150,4,3,house,4900,Kozhikode,Kozhikode
1950,4,2,apartment,4400,Kozhikode,Vadakara
1800,3,2,house,4100,Kozhikode,Koyilandy
2050,4,3,apartment,4700,Wayanad,Kalpetta
1850,3,2,house,4200,Wayanad,Mananthavady
1700,3,2,apartment,3900,Wayanad,Sulthan Bathery
2250,5,3,house,5200,Kannur,Kannur
2050,4,3,apartment,4700,Kannur,Thalassery
1900,4,2,house,4300,Kannur,Payyannur
2200,5,3,apartment,5100,Kasaragod,Kasaragod
2000,4,2,house,4600,Kasaragod,Kanhangad
1850,3,2,apartment,4200,Kasaragod,Nileshwaram
